[31-Jan-2017 14:36:10 UTC] ssssssss
[31-Jan-2017 14:36:12 UTC] ssssssss
[02-Feb-2017 15:37:45 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 15:37:49 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 15:37:53 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 15:37:57 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 15:37:57 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 15:38:04 UTC] PHP Parse error:  syntax error, unexpected ''</li>' (T_ENCAPSED_AND_WHITESPACE) in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 39
[02-Feb-2017 17:04:08 UTC] PHP Notice:  Undefined index: h1 in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:04:08 UTC] PHP Notice:  Undefined index: p in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:05:23 UTC] PHP Notice:  Undefined index: h1 in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:05:23 UTC] PHP Notice:  Undefined index: p in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:06:27 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:06:27 UTC] PHP Notice:  Undefined index: p in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:06:27 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:06:27 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 20
[02-Feb-2017 17:08:50 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
[02-Feb-2017 17:08:50 UTC] PHP Notice:  Undefined index: p in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
[02-Feb-2017 17:08:50 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
[02-Feb-2017 17:08:50 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
[02-Feb-2017 17:10:09 UTC] PHP Notice:  Undefined index: h in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
[02-Feb-2017 17:10:09 UTC] PHP Notice:  Undefined index: p in C:\xampp\htdocs\WP_MP\wp-content\themes\webmaker\inc\shortcodes.php on line 19
